geneid	control_RPF_2	control_RNA_2
c(3)G	138	1514
Acyp2	74	855
nsl1	397	10780
CG9593	0	5
alpha-Man-IIb	41	2053
rec	62	472
CG4576	0	10
CG43318	24	1
CG43317	1	1
Arpc3A	271	1416
ND-23	209	2194
spn-E	550	9644
Pbp45	10	87
cv-d	16	95
CG4546	0	0
Hmt-1	115	7512
CG31183	12	34
CG9632	0	0
CG14877	0	0
glob1	105	3715
EndoU	70	2503
CG45105	3	0
Fbxl7	0	8
CG34276	0	0
CG5478	0	1
blp	42	1346
Sap47	178	3042
CG46383	0	0
CG31088	0	0
CG4287	37	3922
CG5516	57	1396
CG32856	79	428
Rbf2	179	4337
mor	648	18784
Hel89B	183	4999
srp	169	843
GATAe	0	0
pnr	1	0
CG10264	0	3
CG10407	292	331
IKKbeta	57	2206
CG5013	50	520
msps	1640	27994
CG10185	1	4
Mhcl	354	2658
CG32855	0	3
sxe2	0	0
Akt	416	9266
Sb	0	1
Mic26-27	150	5663
CG5916	5	2648
Fer2	0	1
CG6006	76	322
CG8925	0	0
CG8927	7	0
Bin1	199	2226
sra	30	3541
CG6126	48	1053
CG31287	3	5
mtSSB	480	310
tara	28	354
bor	431	2345
asun	90	2064
Mst89B	0	4
Mat89Ba	465	5076
gish	87	12605
Zip89B	78	404
Sulf1	26	2556
CG44044	0	1
CG6901	0	1
CG17929	0	1
CG17930	0	8
SF2	787	14520
pad	11	882
CG14879	3	185
Manf	503	4100
CG10311	17	40
CG17931	226	491
CG42446	1	0
CG14880	0	1
CG10317	1	0
ss	1	0
CG31279	2	91
Fntb	185	2433
CG14881	16	753
mRpS33	183	645
ema	98	5299
CG14894	131	4360
CG14882	52	2480
Pak3	112	5731
CG10405	1	8
CG14883	27	3293
CG42232	529	13544
CSN5	349	3474
Gyc89Da	1	0
Gyc89Db	0	0
Dhfr	82	1320
Sdhaf3	41	757
Der-2	120	2928
Cad89D	4	0
Gr89a	0	0
Decay	0	0
CG42342	6	61
CG14891	0	0
CG14903	76	876
Scp2	0	0
CG14892	1	0
CG10345	1	0
NPF	0	0
CG12783	1	1
CG10340	217	2006
CG17562	5	3
CG17560	14	7
CG14893	0	0
CG14905	0	8
Fas1	613	11747
nonA-l	60	3040
Arl6IP1	433	4841
CG10324	93	905
CCT3	1601	19876
Mettl4	90	357
CG14907	28	346
modSP	21	169
Ubx	1	3
CG31275	0	0
Glut3	1	0
abd-A	20	93
Abd-B	1	3
VhaM9.7-d	0	0
Actn3	1	0
AhcyL2	2	12
CG18622	12	125
MESK4	0	12
EMC2B	83	1254
CG31274	0	4
EMC2A	112	1830
CG3534	27	1420
Sf3a1	314	4460
Irc	523	1270
CG8907	0	17
Pxd	1	0
AdSL	390	4571
CG5225	0	0
CG31268	1	0
CG4009	472	1158
CG18213	83	3757
Trm7-32	192	1835
CG3995	67	1534
Patr-1	216	9590
Dad	25	918
Ns1	633	4382
mRpS11	84	1687
Keap1	25	583
kuk	336	17356
GckIII	341	2285
cal1	215	11244
cher	767	8175
CG34278	0	5
CG42779	0	0
CG45079	0	0
CG17477	0	1
CG31269	0	0
CG31265	0	0
CG17475	0	0
CG4053	0	0
CG31266	0	0
CG31267	0	0
CG5246	0	0
CG5255	0	0
CG5265	0	0
TwdlW	1	0
m-cup	91	3048
Det	171	1201
Smug	9	321
CG5292	18	1419
Mur89F	0	0
CG31262	50	1912
beat-IIb	0	3
CG44259	0	0
CG44257	0	0
CG31418	0	0
CG31419	0	0
beat-IIa	0	0
Brf	30	1152
lute	75	2185
sds22	515	2107
CREG	83	1062
Sur-8	17	3558
CG34279	0	0
CG34280	0	0
CG42823	0	0
CG42824	0	0
CG42798	0	0
CG17283	0	0
CG5860	1	0
CG5863	0	0
CG42821	63	38
CG42822	54	70
CG5866	0	9
CG33333	0	0
CG42834	0	0
CG42835	0	0
CG14332	0	0
cysu	0	0
CG44090	1	0
CG14331	1	0
Eh	0	0
CG14330	0	0
Dscam3	0	6
CG5823	73	6430
P5cr-2	2	0
l(3)07882	275	5356
SF1	206	4713
Prx3	396	4802
Hmx	0	0
Sgs5bis	0	0
Sgs5	0	0
CG7606	0	0
sll	6	2346
CG14329	0	0
Edg91	0	0
CG34281	0	0
CG14327	0	0
CG14324	0	0
CG14326	0	0
CG14323	0	0
AttD	0	0
CG14325	0	0
CG43175	0	0
CG14322	79	4480
CG45045	0	0
CG7523	102	780
Mps1	82	2648
alt	1739	14747
CG7655	109	498
CG31251	45	842
CG31360	120	632
CG31249	150	2039
osa	738	23032
Pxt	10893	44364
Atg8b	0	0
Lgr1	0	8
CG14321	0	3
TyrRII	0	10
TyrR	0	1
CG43102	10	85
pasi1	55	2075
CG7379	72	3465
CG17803	0	87
CG17806	28	785
Nnk	15	2156
CG17801	24	207
Odj	199	3994
Alg1	89	3437
tinc	1	27
Rim	20	0
CG12347	0	0
CG43445	0	0
cpo	50	208
DNaseII	1	1
CG7785	38	1956
CG7794	0	3
htl	12	106
CG14317	0	0
sr	0	7
CG14316	0	0
CG14315	0	0
CG7218	120	5063
Cbp20	117	1429
Prx5	336	0
CG7215	104	0
wrd	597	11610
cdm	44	5729
CG7208	268	3972
Arp5	128	1257
CG12321	185	2135
MED17	142	1823
CG14313	0	2
Ssdp	258	13712
CG7985	18	1024
CG44158	0	0
CG14314	1	38
CG7183	49	1316
CG7988	24	174
mTerf5	57	1841
Non3	312	2637
CG7168	12	1165
Mdh2	1068	12216
repo	0	0
CG7156	26	1882
14-3-3epsilon	3387	46921
CG12320	40	364
CG18598	2	0
Polr2D	123	0
Ada2a	39	357
Tgs1	15	0
moi	21	0
CG18599	1	4
Vps39	112	2229
eIF1A	536	13559
CG7142	2	11
CG14312	0	0
CG8064	403	1312
CG7131	0	29
l(3)05822	326	10903
Dlc90F	254	6777
Polr1E	288	2304
CG7126	0	0
PKD	0	2
naz	0	0
CG15803	0	0
hmw	0	0
WRNexo	545	4854
Nup43	171	2327
gl	0	7
CG7675	93	129
CG14309	1202	434
cona	22	23
Vha100-4	0	3
Vha100-2	1025	13528
Vti1b	64	645
Wdr37	30	1907
koko	89	3707
CG7685	64	460
CG31122	30	3549
CG10864	1	3
fru	17	217
CG7691	0	0
hemo	0	0
CG43210	0	0
fray	173	3443
CG7694	36	259
qin	153	1092
CG14304	0	2
CG14305	0	0
CG7695	8	6
CG14301	0	7
CG31224	103	11218
CstF64	273	1269
Cpsf73	325	3607
Gos28	57	1693
CG31231	0	2
CG31229	110	248
CG7702	28	121
CG31230	0	0
dind	196	3125
CG7706	95	1894
CG46318	0	0
ChT	0	0
Muc91C	1	1
CG14300	0	0
CG34282	0	0
VAChT	1	0
ChAT	0	0
CG34283	0	0
CG7714	0	0
CG7715	0	0
CG14302	0	5
Mekk1	168	7822
PGS1	47	2591
gwl	282	18773
Epg5	522	4753
CG7720	3	453
Octalpha2R	0	32
CG31226	0	0
CG14298	3	3
CG14297	0	17
Rh2	0	8
CG14294	0	1
CG34284	0	0
CG14292	0	0
EndoA	58	2149
Sgsh	0	16
Xrp1	126	1618
Mpc1	67	5152
CG42613	4	1
CG43732	0	0
euc	0	8
Smu1	160	1055
dnk	259	15976
snRNP-U1-C	137	1222
gukh	56	3859
CG6005	136	1082
CG14286	391	1471
CG14285	3	51
GatA	72	988
NP15.6	124	2352
P5cr	85	1373
Prp18	42	1335
CG6013	62	1422
CG6026	2	1
cdi	166	11714
mRpL55	70	842
ATPsynD	702	6835
CG6040	116	323
Cyp12a5	1	21
Cyp12a4	8	29
Ppcs	38	2563
CG5835	32	73
CG11779	80	4707
nos	227	10768
Nsun5	395	1276
CG42359	29	411
sqz	20	418
CG14282	0	0
CG5555	227	3076
myd	0	3
cry	62	175
vib	220	4748
CG11703	1	0
CG5250	0	0
Polr2M	154	1997
unc79	0	51
CG5217	0	0
CG14280	0	0
CG44174	0	0
Dl	107	5950
CG43203	0	0
Ino80	143	5263
CG3581	0	0
CG31404	0	0
CG31245	0	0
CG3734	0	1
CG18493	0	0
CG3739	1	0
CG31244	1	1
CG5316	150	2284
CG11626	0	1
CG31221	0	0
CG3517	0	0
Dys	411	8137
Scsalpha2	0	2
CG15025	0	0
Cpr92A	1	0
CG7333	0	0
CG7342	0	0
CG17751	0	0
CG17752	1	0
CG16727	0	0
CG6231	153	389
subdued	11	2153
CG34138	0	2
Vha13	662	13738
Nup58	283	3392
CG6195	282	2197
CG31220	0	2
CG31219	1	0
CG6184	0	7
ort	0	0
CG7432	3	0
Naam	23	387
CG34286	0	0
GluClalpha	0	3
CG6300	0	0
CG11659	0	0
CG11391	0	0
CG11407	0	2
CG11453	0	14
bnl	1	10
CG31459	0	0
MICU3	40	808
Ire1	78	2126
CG11447	41	546
CG4572	545	7049
CG4686	231	1622
CG4562	14	2452
CG17186	46	1471
Arc42	159	3167
Ask1	294	6099
ninaE	0	2
CG4733	12	282
ClpX	351	4434
Surf6	198	5674
RhoGAP92B	192	3234
Xport-B	0	0
Xport-A	0	0
CG4465	0	0
CG4770	0	0
CG4462	10	20
CG4459	1	0
Hs6st	7	1733
mira	0	7
CG46042	0	0
CG4783	1	0
CG31213	0	0
MED25	146	1501
CG17190	40	27
CG4836	0	1
PIG-L	16	2178
psidin	159	3679
CG4424	15	629
CG4854	29	897
trem	42	1765
CG4936	130	3511
Regnase-1	24	986
CG17193	0	1
CG33934	3	0
Indy-2	0	0
CG4390	490	3347
mdlc	144	3735
Rh3	0	0
CG31206	0	0
CG10887	1	0
Gr92a	0	0
CG5023	55	70
Nlg4	0	0
CG17199	0	0
cic	194	10366
CG4367	0	0
CG4362	1	3
CG42668	75	5206
CG4360	67	5234
Sirt2	41	783
Ir92a	0	0
MtnC	0	0
Gfrl	2	1
CG4335	0	3
eIF3g2	0	0
Dic2	0	0
CG46441	0	0
MtnB	0	0
Or92a	1	0
MFS9	0	1
MtnE	0	1
MtnD	0	0
Stat92E	291	11111
DPCoAC	35	530
att-ORFB	0	0
CG5180	58	847
CG15922	33	150
CG5191	32	2032
CG10877	39	638
TFAM	407	4856
CG5412	95	1159
EloB	117	5339
Srp14	135	676
CG34008	23	225
CG16953	221	6936
Septin2	236	3273
Srp72	494	2984
Pus1	110	1069
bon	308	7485
CG15923	0	1
CG5466	8	1907
H	109	9636
Pi3K92E	153	6402
Lrrk	29	2124
GluRIIE	3	32
GluRIID	7	20
Nep4	0	2
Cpr92F	0	0
CG4000	4	0
Oamb	37	610
CG31205	0	0
Cdk2	307	8752
CG17267	0	3
CG42322	0	2
CG31199	0	1
CG31200	1	0
Prosalpha4T1	0	0
Syp	38	809
CG31195	139	4535
Takl1	0	0
Fancd2	131	4614
CG17270	12	764
CG17271	122	2642
RpS20	1320	26349
CG17272	36	1493
AdSS	294	8968
CG31223	92	948
Synd	219	3953
CG15695	1	10
CG15696	0	0
RpS30	1638	36415
Ir93a	0	19
KaiR1D	0	0
TotA	2	3
TotC	1	0
TotB	0	0
TotZ	0	0
Ktl	2	37
Grik	0	20
TotX	0	1
CG31191	0	2
hdly	97	257
Atpalpha	2731	32371
Calx	90	2960
CG43446	0	3
Alp5	2	2
CG5697	0	0
Rlip	119	2745
CG17278	2	19
Dhc93AB	4	1
CG12278	0	0
CG31189	0	0
CG31207	0	0
CG7079	0	0
CG17279	0	5
Mvl	158	6708
Cortactin	184	3920
AnxB9	1429	3589
r-l	687	4005
dmrt93B	2	0
HHEX	0	1
RhoGAP93B	39	6068
CG7044	299	3058
CG5745	182	2133
Sec15	105	3089
rtet	68	3240
Rab11	567	11553
ppan	165	2669
Bdbt	131	1630
slmb	700	13547
CG5793	35	1008
Obp93a	0	1
Ice2	35	1857
Trm7-34	51	486
Usp8	142	3535
meigo	107	3476
SNF4Agamma	801	14138
cDIP	3	9
CG5810	16	11
Snmp1	64	394
CG5862	39	984
Smyd5	188	1530
Oga	295	1234
CG3337	20	340
Nelf-A	159	6682
e	2	0
CG5892	0	0
ETHR	0	1
Rab1	742	1680
AP-2sigma	263	1723
Idi	31	1144
CG3308	16	2019
CG3301	6	8
SIFaR	0	0
CG17298	0	0
aus	42	288
mod(mdg4)	501	29300
pre-mod(mdg4)-H	0	0
pre-mod(mdg4)-G	0	0
pre-mod(mdg4)-B	0	0
pre-mod(mdg4)-P	0	0
pre-mod(mdg4)-I	0	0
pre-mod(mdg4)-L	0	0
pre-mod(mdg4)-K	0	0
pre-mod(mdg4)-J	0	0
pre-mod(mdg4)-T	56	0
pre-mod(mdg4)-Z	6	0
pre-mod(mdg4)-C	0	0
pre-mod(mdg4)-E	0	0
pre-mod(mdg4)-AB	0	0
pre-mod(mdg4)-Y	3	0
pre-mod(mdg4)-V	16	0
pre-mod(mdg4)-X	4	0
pre-mod(mdg4)-AE	0	0
pre-mod(mdg4)-W	33	0
pre-mod(mdg4)-AD	10	0
pre-mod(mdg4)-U	4	0
pre-mod(mdg4)-O	0	0
pre-mod(mdg4)-N	0	0
pre-mod(mdg4)-AA	0	0
tin	0	1
bap	0	0
Ugt49B2	1	0
CG7907	1	0
CheB93a	0	0
CheB93b	0	0
lbl	0	0
lbe	0	0
Fancm	92	3212
C15	0	0
sp3	99	2697
slou	0	0
CG15498	0	0
InR	28	2833
E2f1	129	13923
Archease	34	629
CG15497	0	2
PolA1	522	7348
CG31176	13	51
Sfp93F	0	0
CG42869	0	0
CG42870	0	0
CG34034	0	0
CG5849	0	6
CG31343	0	0
CG31233	1	0
CG31198	2	0
CG42335	0	0
Burs	0	0
GABA-B-R2	1	32
CG6800	0	11
Polr1H	99	717
tsl	2	21
CASK	38	4924
Gr93a	0	0
Gr93b	0	0
Gr93c	0	0
Gr93d	2	0
glec	18	5808
lsn	80	526
CG6569	0	13
Cby	0	0
CG31174	1	73
CG31431	2	63
CG31178	1	2
CG6656	16	55
CG34148	34	21
P5CDh2	0	4
CG31465	0	0
fit	1	0
CG17819	0	0
dnd	0	25
CG6678	2	357
CG43844	0	22
Qsox3	1	0
Qsox2	0	0
Eip93F	35	458
Theg	0	2
Idh3b	193	8265
Mitofilin	403	5592
mRpL35	96	1598
CG6028	111	1685
Cchl	222	5120
ND-42	577	4057
CG13409	0	16
CG45099	14	0
CG6015	224	0
pit	768	7660
Fadd	27	1214
how	205	2581
CG13408	0	0
BomT3	9	10
BomBc3	0	1
CG13407	0	0
Ir94a	0	0
Ir94b	0	0
Ir94c	1	0
CG42390	13	104
SKIP	29	12265
Gld2	2	5
CG7084	1	7
CG34377	2	14
CG7080	0	1
CG33721	0	0
CG13862	0	0
CG5391	16	24
CG5388	0	1
CG5386	0	0
rdhB	0	1
Sar1	457	8267
JMJD6	135	4453
Muted	48	0
CG7071	24	0
CG5382	82	1414
Polr3F	38	597
PyK	3460	26070
CG7069	1	38
CG18596	122	3279
CG34149	43	454
CG43342	20	375
Gpdh3	3	1887
CAH8	0	2
CG7059	1	14
CG13857	0	0
CG13856	0	0
CG13855	0	2
CG13850	137	3817
lqfR	456	7865
Nop56	1711	12004
mats	238	5213
pinta	15	542
CG13847	0	0
CG12499	1344	9967
CG34288	1	3
CG34376	7	468
Rpn7	1400	6660
AP-2mu	378	4316
CG7054	267	1827
Pebp1	0	2
CG5377	55	872
Nrx-1	5	31
Pfdn5	347	2886
CG5376	4	4
CCT1	1529	21840
tHMG1	0	0
tHMG2	0	0
Octbeta1R	1	3
CG5346	43	271
CG33099	17	45
CG33093	0	3
CG5326	44	393
AdipoR	287	6361
bond	89	185
sit	2	2
CG33110	0	0
CSN6	212	3116
Dph5	131	6749
CG33107	61	1166
CG6937	749	6028
btn	2	5
Efa6	66	5046
CG31156	58	1200
CG13843	0	3
mRRF2	16	572
CG31161	0	5
mRpL45	298	2334
loco	137	1172
wake	22	491
Gclm	68	6868
CG17625	0	6
wfs1	83	1638
Nup133	582	4855
cd	2	2
Cyp6d4	52	228
CCAP	1	0
CG6972	1	10
CG13842	0	1
CG4907	0	1
wge	76	13201
Irp-1A	191	1704
CG4813	74	1550
CG45049	30	3639
Takl2	0	7
Dcr-1	96	5803
CG6985	57	1379
vret	163	2624
HP1c	189	979
CG17141	20	301
CG31139	1	1
rumi	157	1922
CG7029	152	8193
Usp12-46	59	1782
Nepl13	0	8
Nepl14	0	6
Nepl15	0	8
CG13841	0	1
CG43091	0	0
CG43092	0	1
CG43093	0	0
CG43094	0	0
CG43095	0	0
CG7031	0	0
CG13840	1	3
CG4704	0	0
klg	0	1
CG6660	1	1
Tpl94D	0	0
Gbp3	2	1
Nha2	2	5
Or94a	0	0
Or94b	0	0
CG34375	1	0
CG6688	0	0
lmd	0	0
CG13833	0	0
CG13838	0	0
CG13837	0	1
CG17121	65	246
p53	58	1081
Gr94a	0	7
CG17119	29	0
sav	34	2571
Ublcp1	227	3090
CG17111	15	17
Cow	2	0
CG6726	205	0
CG17110	0	1
CG17109	0	2
CG6733	1	0
CG6738	1	0
Rassf	72	7695
CenB1A	135	7548
CG31365	81	4642
CG31457	45	1814
hh	5	7
unk	107	2333
VhaAC39-2	1	0
CG13829	0	0
Irk1	111	257
CG46310	1	0
cnc	525	14644
fzo	0	1
CG4467	0	2
Rad60	165	5230
EloA	42	6996
wda	45	2039
Pex11c	29	1086
orb	487	19646
Cdc16	303	3934
CG6763	0	13
wam	0	0
bb8	0	1
pnt	53	701
PolE1	377	4505
ATPsynCF6	476	6369
Sec13	270	4469
RpS3	2394	58266
CG4408	204	2994
CG42827	0	0
CG42828	0	0
CG4393	27	83
CG31515	0	0
CG17380	0	0
Ir94d	0	0
Ir94e	2	0
CG4374	3	0
CG43694	0	0
Ir94f	0	0
Ir94g	0	1
Ir94h	0	0
CG34289	0	0
Irk2	0	0
CG10177	0	0
CG10175	14	11
Ugt303B3	0	0
Ugt303B1	0	0
Ugt303B2	0	0
CG10164	0	0
beat-IV	1	0
CG10182	0	1
CG33337	0	0
CG16723	0	0
CG10183	0	0
CG10184	29	417
CG31145	70	707
GILT3	42	1192
GILT2	37	1106
eIF3d1	1279	15753
CG16710	0	41
CG18754	0	11
SPE	1	5
CG10254	1492	38872
CG10252	0	3
prt	0	12
CG31468	0	2
Gba1a	0	11
Qsox4	0	0
Gba1b	0	1
CG10301	0	0
CG10300	0	0
nau	0	0
CG10232	1	0
CG10365	29	1119
Rpn9	948	10301
Hmgcr	70	2189
RanBP3	603	6797
Rpt5	1266	9740
Hrd3	199	4521
PTPMT1	16	456
SdhD	212	2079
udt	177	5474
Lsd-1	210	340
CG10214	123	1928
CG10375	162	795
tst	321	2952
CG10208	26	218
Nup98-96	689	18640
mbc	199	6341
CG33111	29	532
CG34355	4	32
eIF4G2	94	7303
Pli	177	3722
TfIIA-S	207	3510
tbrd-1	0	24
sba	32	1617
CG31141	0	0
Ndc1	323	3894
CG13601	82	1968
CG43998	1	0
CG43999	1	0
CG31142	40	349
Rpt2	2336	9922
CG13599	74	1719
RpS19b	6	18
CG5854	90	2224
Gdh	522	11745
CG12268	1	1
GluProRS	1477	9556
AP-1sigma	161	4557
CG31140	5	15
CG13603	68	1975
CG5902	45	3362
Epp	25	964
Rab7	1024	7412
CG33108	8	112
LSm3	242	1342
KrT95D	91	3449
Mettl3	115	1247
Miro	74	3295
spas	119	5737
Rox8	321	22864
CG5986	182	2080
Atg6	97	1258
Pisd	269	6118
CG6000	171	138
Hsp68	46	617
SMC1	401	9421
eIF4EHP	43	4042
Syx1A	41	2634
CG10694	0	3
CG18428	39	325
CG13605	57	3086
Root	1	15
CG13607	5	9
GatB	105	1068
Tsc1	160	7686
Sec10	326	1759
Npc2f	4	8
Kal1	91	356
Slimp	54	681
p38c	6	35
p38a	23	1450
CG6178	367	7555
Myo95E	8	1160
TBC1d7	91	934
mRpS24	106	381
Apc2	57	6522
CG5510	72	1919
CG13606	0	3
mora	363	1166
CG5515	255	3691
jnj	263	5122
CG6204	42	361
twin	423	16618
CG17786	6	85
cav	178	3877
Spps	27	1677
CG13609	20	1054
Spase22-23	503	3194
Acp95EF	0	0
mask	1733	16445
beta-PheRS	529	4584
jar	377	3687
Orct2	32	77
Orct	5	38
shps	0	0
CG6356	9	3
CG34290	0	1
Uck	73	2780
CG5715	0	5
crb	504	3499
Nab2	109	6800
BRWD3	367	9027
CG5728	674	7451
Dis3	317	3698
CG6432	5	12
Ms	4	0
CG5746	96	13822
CG6454	47	5544
Golgin84	86	1707
CG18528	48	1567
CG5762	0	0
CG33339	0	0
CG33340	0	0
CG17784	0	0
CG13613	0	0
CG42811	0	0
CG42812	0	0
CG33341	0	0
CG13614	1	0
CG17782	0	0
CG17781	0	0
CG33342	0	0
CG17780	0	0
CG5768	0	0
CG13615	0	0
CG13616	0	1
nAChRalpha1	0	0
CG31128	0	0
nAChRalpha2	0	0
nAChRbeta2	0	2
DZIP1	0	6
Pp1alpha-96A	81	5102
CG13622	0	0
CG13618	0	2
CG6607	56	385
CG13623	58	135
ana1	50	6563
Cftr	777	12238
Esyt2	64	186
REPTOR	222	3681
CG13625	133	3299
mld	121	18640
Syx18	139	2499
atl	438	5398
Wsck	45	1090
MtnF	0	0
puf	248	16100
ash2	178	2458
CG31125	0	38
CG6695	58	4167
CG31126	89	803
Ppox	44	1018
slo	1	4
CG13627	1	0
CG46316	0	0
Polr2L	388	772
CG13630	217	2212
tok	19	60
tld	1	1
asp	974	20819
AstA	0	0
CG13631	1	209
CG42331	0	4
CG5805	20	3036
Ets96B	3	0
CG13634	0	1
Ude	9	102
polybromo	212	14760
lili	53	4654
CG6980	0	5
CG34150	33	389
CG5808	71	1142
Saf-B	287	5843
niki	4	16
RabX4	1	98
Kaz	392	1969
CG43273	48	355
sosie	283	1668
CG33658	0	0
Esp	319	1179
CG7006	194	1803
Nct	115	5859
HDAC11	1	123
CAH4	1	0
ppk22	0	0
CG13639	0	0
CG13640	0	0
CG7016	0	0
CG13641	0	2
Elal	2	3
CycB3	262	21732
CG3744	58	5304
CG11089	412	2686
CG31381	44	548
CG31121	36	66
CG11069	22	81
CG13643	0	3
CG10845	0	0
PIG-S	157	1316
sud1	129	1648
CG11168	23	760
Mink	406	2313
Trf4-2	33	3205
CG11771	165	3932
Osbp	114	3779
ssh	141	12377
Nmnat	48	873
mah	0	2
tnc	46	56
beta4GalT7	35	1875
EMC6	156	1282
Hr96	19	3871
Smg6	132	3886
Ythdf	302	11099
CG31115	1	16
bai	237	4236
5PtaseI	35	1408
CG11786	0	1
CG11790	41	2725
CG11791	18	1179
CG31109	55	1987
CG31111	87	728
stac	57	1007
veli	128	2578
PQBP1	51	1038
Stt3B	598	4253
CG11839	61	1256
CG11836	21	1943
shams	4	1431
CG11920	257	2353
fd96Ca	0	0
fd96Cb	0	0
CG33095	9	0
CG33096	168	79
CG45095	0	1
CG34027	1	1
Nepl16	3	23
TTLL5	323	7872
CG31510	112	1972
vig2	1956	28480
Mocs2A	71	0
Mocs2B	42	0
Clbn	220	5135
Bili	0	8
danr	0	1
lobo	0	0
dan	0	2
CG13653	1	0
Cad96Ca	0	0
CG13654	9	100
CG13663	29	1587
CG31106	0	1
CG31103	0	1
Alg9	255	5581
Cad96Cb	2	8
Sil1	119	1777
CG11852	47	34
to	0	0
CG11854	0	0
bam	70	1889
RpS27	1247	32056
Nup37	209	1595
Nup358	2389	43118
CG11857	159	3740
CG10425	56	1383
CG11858	250	1180
GlnRS	432	7125
RIOK2	352	1502
CG11889	0	0
CG11891	3	0
CG11878	1	0
CG10513	0	0
CG10514	0	1
CG11892	2	7
CG31300	0	0
CG31104	0	4
CG13658	0	3
CG11893	2	42
CG31098	175	1339
CG31102	3	3
CG31097	0	0
CG31288	2	5
CG13659	11	18
CG31370	18	58
CG31436	10	5
CG10550	11	6
CG31099	0	0
CG31087	1	1
CG10559	3	15
CG10553	0	0
CG10560	0	0
CG10562	3	1
CHKov1	10	71
CHKov2	40	58
CG10669	32	861
CG11902	102	3606
rha	0	9
tobi	4	35
Fur1	300	5961
ND-49L	0	0
alrm	0	10
CG31437	0	1
Muc96D	0	4
Vps33B	48	1251
CG4553	34	753
MED28	86	1199
XNP	426	11542
CG42488	18	0
CG5116	36	20
Gnpat	48	1870
CG5112	143	0
CG33494	7	25
CG5107	0	0
CG5111	0	3
msi	542	7051
CG4582	0	0
ymp	0	1
Npl4	577	8725
CG5079	0	1
CG5071	0	7
Ssadh	125	2251
jigr1	86	12840
Tnks	61	3083
RASSF8	61	5754
Lgr3	0	18
CG4730	26	1057
CG5039	9	185
CG4743	30	387
CG5028	316	8155
RpL27	1564	41027
CLS	79	903
LpR2	370	12293
LpR1	89	1106
CG17198	1	0
CG17197	0	0
CG17196	0	0
CG17195	0	0
CG4956	0	1
CG4960	0	1
CG31380	0	0
CG31093	0	1
BG642167	0	0
CG5024	0	2
Acam	0	0
CG17770	0	0
CG14354	0	2
Mst57Dc	0	0
Sfp96F	0	0
Mst57Db	0	0
Mst57Da	0	0
alpha4GT2	0	0
CG14545	388	6036
CG5886	208	3553
CG5890	0	0
Tsp96F	10	3935
SppL	21	4905
Lnk	95	1594
CG5913	109	3255
CG5948	1	4
Mco3	0	0
CG31091	2	0
CG31089	1	0
CG42235	0	0
CG14546	0	0
CCAP-R	0	1
CG14540	3	0
boss	0	0
fid	1	0
Nf1	364	3553
CG43116	1	0
E(spl)mdelta-HLH	0	0
E(spl)mgamma-HLH	0	0
E(spl)mbeta-HLH	56	92
E(spl)malpha-BFM	2	3
Kaz-m1	0	0
E(spl)m2-BFM	2	1
E(spl)m3-HLH	38	175
E(spl)m4-BFM	0	0
E(spl)m5-HLH	0	0
E(spl)m6-BFM	1	0
E(spl)m7-HLH	2	6
E(spl)m8-HLH	0	1
gro	330	15616
Exo84	270	745
Vps2	192	1533
Cmpk	130	4073
Sld5	157	861
CG14543	122	875
PIG-P	5	0
Tcs6	69	0
RpL34a	427	9099
CG14544	123	632
CG14551	0	0
dysf	0	0
CG31324	6	53
CG14556	0	2
CG6142	0	0
CG31323	0	23
CG31086	1	0
CG6073	165	2097
CG34130	0	0
CG34129	0	0
CG12290	28	169
Ald1	1430	12873
CG6154	0	1
osy	58	66
CG6036	0	0
ppk15	0	0
Ald2	0	0
CG6503	21	11
CG34291	1	0
tx	0	1
Hex-t1	2	0
Hex-t2	0	0
CG5447	67	3091
CG43117	0	20
Pdf	0	2
CG14237	0	0
CG14238	0	5
CG5455	38	871
plum	62	1561
scrib	289	6135
TwdlM	0	0
TwdlP	0	0
TwdlB	0	0
TwdlL	0	0
TwdlO	0	0
TwdlK	1	0
TwdlJ	0	0
TwdlN	0	0
TwdlH	0	0
TwdlR	0	0
TwdlS	0	0
TwdlD	0	0
beat-VII	0	0
Tb	1	0
TwdlQ	0	0
amon	0	1
CG6425	23	1617
Yif1	289	3126
CG6420	49	4714
CG14244	0	0
CG14246	0	0
CG14245	0	1
CG6403	0	0
CG14247	2	0
CG42789	0	0
Tl	141	8511
Lerp	206	2487
IntS12	76	3707
ball	321	7684
His2Av	897	34447
SPARC	426	504
Rb97D	117	5349
ms(3)K81	2	1
CG5500	6	1433
ro	0	1
T48	22	2161
Ets97D	83	2598
CG46339	65	180
CG14252	28	167
Spag1	0	0
CG6330	68	1259
Tsp97E	117	4748
Gr97a	1	0
CG5521	100	7397
CG14253	0	11
CG46313	0	0
CG31075	194	2725
CG31076	2	1
TwdlC	0	0
RYa-R	0	0
CG31077	0	0
CG6296	0	4
CG6295	0	0
CG17192	0	0
CG17191	0	0
CG6283	1	0
CG6277	0	0
CG6271	0	0
TwdlT	0	1
Nep5	0	3
CG34292	0	0
spz	36	6985
CG43935	0	1
CG14257	1	3
Cpr97Ea	0	0
Cpr97Eb	1	1
CG14258	0	0
CG14259	7	0
eater	6	3
CG17189	0	0
CAH9	87	41
gb	84	1798
CG5815	78	1020
CG6066	166	1642
CG5880	58	1030
CG5882	0	1
CG6059	1	0
CG6051	135	7446
Men-b	204	6978
grass	4	9
